post_id,comment_id,comment_from_name,message,comment_created
304981108326_240744362678411,304981108326_240744362678411_1256316,"Niccolo Casewit",http://www.nytimes.com/interactive/2012/02/12/us/entitlement-map.html?ref=us,2012-02-17T23:38:15+0000
304981108326_329224890456800,304981108326_329224890456800_4169740,"Ed Tallerico","If there were not so many of them invested in the XL Pipeline then I would give them the benefit of the doubt. The conflict of interest has reach a point of zero trust of Congress and it really is time to replace those who might attempt to impose their will on the rest of us! Fight for the people, not for corporations!!",2012-02-17T19:51:15+0000
304981108326_362555367102724,304981108326_362555367102724_4809813,"Myles F. Gellert","When people realize that the entire election process and the entire slate of candidates are already in the pockets of, and beholding to corporate America, and multi-national corporations,, they also realize that their vote has been rendered meaningless. The choice then becomes, ""do I go through the motions of a free election, and vote?"" , knowing that it really doesn't matter who wins or loses, any winner already bought and paid for.",2012-02-18T14:20:33+0000
304981108326_362555367102724,304981108326_362555367102724_4810493,"Robert Olkowski","That has been true for many years, but the Internet, Twitter and Facebook have given us weapons we can use to fight back.",2012-02-18T17:27:32+0000
304981108326_300013073387398,304981108326_300013073387398_3351303,"Scott Kelosky","And setting aside our different outlook regarding politics and/or ideology, another well written article in my opinion.  Tell you what, I can do sales pretty well, and both my brothers are involved in internet advertising, so if you would like to come over to the Libertarian side of things we me, then we could have quite the web site :)",2012-02-17T20:48:30+0000
304981108326_300013073387398,304981108326_300013073387398_3351334,"Larry Lazar","Scott, there is a new book out that proposes exactly what you are suggesting (dropping both Fox and MSNBC).  The public is being ""overwhelmed"" with information, and more accurately, opinions, much of which is based on bad information.

The point of the book is to be selective and take in information in moderation - much like as one would with food.   Unprocessed, fresh and grown yourself!  I like the idea.

http://www.informationdiet.com/diet",2012-02-17T20:59:42+0000
304981108326_156475534471191,304981108326_156475534471191_336161,"Lynda Park",spam,2012-02-17T13:13:11+0000
304981108326_156475534471191,304981108326_156475534471191_337671,"Jeanne Alvarado","No Lynda its not. I found this work from home on extend unemployment benefits website and I contacted the girl who posted it. I took a chance and signed up after speaking to her.",2012-02-17T19:29:49+0000
304981108326_326604500708942,304981108326_326604500708942_4220700,"Sandye McCleskey","Well who are the commies now?....spell....GOP!",2012-02-17T06:46:32+0000
304981108326_323169174402747,304981108326_323169174402747_4121717,"Lynda Park","Everyone needs to watch this.  An incredibly appalling part of American history.  I am ashamed to admit that I had never heard of this until this documentary.",2012-02-17T20:18:27+0000
304981108326_10150810850348327,304981108326_10150810850348327_25857308,"Scott Kelosky","Joseph, I agree.  I happen to be pro-life, but I do not agree with passing laws or a Constitutional amendment outlawing abortion.  I disagree with those attempts on Libertarian grounds.  Because I am pro-life I am also strongly pro-contraceptives.   Just seems to make sense to me if contraceptives are readily available and affordable the abortion rate will go down.  The GOP confuses me on their stand regarding this issue.",2012-02-16T23:06:42+0000
304981108326_10150810850348327,304981108326_10150810850348327_25857326,"Joseph Cautilli","Prolife banning abortion is one thing- forcing probes on woman who have them is another. I think we agree there.",2012-02-16T23:07:38+0000
304981108326_325789790800017,304981108326_325789790800017_4158559,"Jen DiOrio",http://www.fluoridealert.org/,2012-02-16T21:01:53+0000
304981108326_354490741238492,304981108326_354490741238492_4683553,"Antônio Carlos",http://youtu.be/YkwoRivP17A,2012-02-16T20:55:24+0000
304981108326_354490741238492,304981108326_354490741238492_4683573,"Antônio Carlos","Conservatives say that President Obama is against the United States because it is preventing you to create approximately 21,000 jobs by not authorizing the construction of the pipeline. Worth it? Regardless of ideology, according to the video, this is total madness.",2012-02-16T21:04:51+0000
304981108326_10150810201233327,304981108326_10150810201233327_25853096,"Sara Snatchko",Semantics,2012-02-16T18:37:52+0000
304981108326_10150810201233327,304981108326_10150810201233327_25855806,"Scott Kelosky","A bit of an overly generalized statement since I'm sure whatever political beliefs one had at the time did not mean everyone with those same beliefs supported the same thing.  However, this was a long time ago and I personally don't see how that applies today.",2012-02-16T21:37:18+0000
304981108326_10150808430998327,304981108326_10150808430998327_25840911,"Lynda Park","If you read the info section, you will not that this is a political movement.  don't take the name so literally.",2012-02-16T02:02:08+0000
304981108326_10150808430998327,304981108326_10150808430998327_25842809,"Daniel Noe",LOL,2012-02-16T03:56:17+0000
304981108326_257980344277638,304981108326_257980344277638_1794387,"Richard Wayne Paugh","I can think of other adjectives for Cantor... This is typical of GOP SOP...WHERE ARE THE JOBS YOU PROMISED, GOP???",2012-02-16T14:26:47+0000
304981108326_257980344277638,304981108326_257980344277638_1794991,"Gail Samples","Is anybody surprised?  I figured something like this would happen in light of how quickly the nimrods jumped on the bandwagon of making themselves follow the same rules as us peasants.",2012-02-16T17:18:24+0000
304981108326_175380492572320,304981108326_175380492572320_564086,"Daniel Noe","Another reason not to buy insurance - or force others to.",2012-02-15T23:15:13+0000
304981108326_247953035287305,304981108326_247953035287305_1531713,"Scott Kelosky","Freedom Watch, Judge Napolitano's show, was cancelled due to declining ratings, along with another show on the Fox business channel.  Judge Napolitano is more of a Libertarian than republican, so this show was not much of a departure from his normal shows.  It is, however, a very good video that makes an excellent point.",2012-02-16T01:46:31+0000
304981108326_296676667059567,304981108326_296676667059567_3131316,"Degeneres Love","make sure you go to the actual page and like it! :)",2012-02-16T06:39:33+0000
304981108326_345688338795899,304981108326_345688338795899_4577039,"Jack Hoyt","Jack Hoyt My question is an important one since it is the American middle class which drives the world economy and pays the taxes to keep this country alive. What is happening in America that we are hemorrhaging middle class jobs, while other Western countries do not seem to have this problem? And what can we do to change the structures of the economic factors in our country which are controlling our economy and contributing to the rapid decline of the middle class?",2012-02-16T08:18:47+0000
304981108326_345688338795899,304981108326_345688338795899_4586004,"Delphine Trevillot Brooks","it seems to me that the Republican party was highjacked by a small % of religious fanatics who manipulated and pushed the system to its worst in order to bring chaos, hoping to be able to seize power. The corporations and financial institutions seeking endless growth and maximum profit are of course using all what the system allows them.  This small % of fanatics operates in the very same way the Muslim fanatics do.  if you denounce them it means you are not a Real Republican/American or Muslim (I'm neither of them but it is obvious to me). It is a way to use our need of identity and our fear of losing it. Very manipulative and sneaky but it seems to work!! 
The big mistake we are making and what this small band of  fanatics  wants us to do is to put every body in the same bag and to lose ""faith"" in the secular Democracy,  with a party with conservatives tendencies and a party with progressives tendencies and the protection of a respectful dialogue between them.
Most of the People elected are trying to do their best and do not have fanatical ideas but they might not be as strong as what the situation requires. We need to all engages and support actively in some way the people we believe in and elect,assisting them in the causes they claimed that they will fight for.
And really the Republican party should identify this little fringe which seems to have taken power over all the party.  I would even go further and say that i'm not against extremists; on the contrary, they play an important role too in both camps  but they should never, never be allowed to take power and one should always anticipate extreme methods from extreme people.",2012-02-18T04:24:35+0000
304981108326_367300739964684,304981108326_367300739964684_4955816,"Mark Miller","But more than that, all four of them have used the Republican primary process to convince the average American of the same thing - they are not really one of them and they fail to understand or appreciate the challenges facing middle America.

Palin may be right about conservatives but the question is mute.  Moderates have already left the room.  In droves.",2012-02-15T05:15:47+0000
304981108326_364202840259687,304981108326_364202840259687_5073465,"Pablo Barrera","I stand with Rocky, the time has come to let Washington DC know that their 2 party system  isn't cutting it anymore. Vote Rocky 2012 he's got the Eye of a Tiger",2012-02-15T07:20:22+0000
304981108326_329253350451115,304981108326_329253350451115_4126985,"Jeanne van den Hurk","Alabama already has a solution for this: forced prison labor will be sent to work the fields, etc. It's actually cheaper than paying immigrants and it's probably the reason they got rid of the immigrants in the first place.",2012-02-15T04:16:58+0000
304981108326_10150805052868327,304981108326_10150805052868327_25822617,"Lynda Park","Come back soon!",2012-02-15T03:09:54+0000
304981108326_252002978211210,304981108326_252002978211210_1674018,"Jen DiOrio",http://www.fluoridealert.org/,2012-02-14T23:36:36+0000
304981108326_254295177981409,304981108326_254295177981409_1833127,"Tom Raffe","who wants to kill social security?",2012-02-14T19:57:03+0000
304981108326_10150804126503327,304981108326_10150804126503327_25836497,"Scott Kelosky","""Suppose you were an idiot and suppose you were a member of congress. But I repeat myself."" - Mark Twain.

Personally, I have no desire to live in the type of society you describe.  Not because I don't care about people, and I do think people should have a fair opportunity to achieve the things you mention.  But a government that has the power and authority over almost every aspect of our lives to turn those items into rights is not the type of government I wish to live under.  And do you believe that a government that powerful would only do good things that you approve of?  Of course not.  
You can already look at the government we have today, which is not nearly as all encompassing as the type of government you are advocating for, and still we have the patriot act, section 1021 of the Obama signed NDAA, invasive searches by the TSA, and the list goes on with all sorts of laws that violate our civil liberties and individual rights.
“The Constitution is not an instrument for the government to restrain the people; it is an instrument for the people to restrain the government - lest it come to dominate our lives and interests” - Patrick Henry.
“The true patriot is motivated by a sense of responsibility and out of self interest for himself, his family, and the future of his country to resist government abuse of power. He rejects the notion that patriotism means obedience to the state.” - Ron Paul.",2012-02-15T21:08:41+0000
304981108326_10150804126503327,304981108326_10150804126503327_25850868,"Jerry Ashton","We don't have a government, we have a corporatocracy.",2012-02-16T15:50:20+0000
304981108326_10150803484453327,304981108326_10150803484453327_25822721,"Vince Lisanti","Lynda Park  Thank you for this!",2012-02-15T03:15:03+0000
304981108326_10150803484453327,304981108326_10150803484453327_25828239,"Ariana Benn","The rest of the Candidates including the Pres. are already bought and paid for.  Just look at where their big checks are coming from. Wallstreet, Big Corps, Billionaires, etc. What will they get in return for their big checks???  I mean come on you just don't write checks like that without getting something in return.  I want a President that is free to lead & has NO strings attached.  That is one of the MANY reasons that I support Buddy Roemer.  Elections should be won on who can get the most votes NOT who can raise the most money.  Obviously the GOP, Media etc. are afraid of this message.  They won't let him debate & they will not give him hardly any media attention.  Makes me like him even more.  We need a True Patriot to lead our country in a better direction and I happen to think that Buddy Roemer is that guy.  He also has a history of fighting corruption in his home state of LA.  Republican or Democrat it doesn't really matter how you identify yourself today.  THEY BOTH TAKE THE BIG CHECKS.  Until we solve that problem then it really doesn't matter who has your vote cause NOTHING will ever change.",2012-02-15T10:50:59+0000
304981108326_296117067110560,304981108326_296117067110560_632061,"Daniel Noe","I don't see what being female has to do with politocs. Are you implying that women are stupid? Are easily taken in by black (or half-black) men? Is this a real poll?",2012-02-14T21:51:27+0000
304981108326_248515671895253,304981108326_248515671895253_1501786,"Sharon Deborah Michalove","What happened to checks and balances?",2012-02-14T12:40:35+0000
304981108326_10150803002928327,304981108326_10150803002928327_25819527,"Lynda Park","Re debt, it is important to note that about $5 trillion of it is ""intragovernmental"" debt.  It is not that this isn't important, but very different from the ""debt held by the public"" - http://en.wikipedia.org/wiki/File:Holders_of_the_National_Debt_of_the_United_States.gif",2012-02-14T23:55:58+0000
304981108326_10150803002928327,304981108326_10150803002928327_25852208,"Ted Gee","Super like. Please read.",2012-02-16T17:29:32+0000
304981108326_143001305820287,304981108326_143001305820287_217651,"Nancy Goodwin","""Cheaper"" isn't always ""better"".  As I like to remind my kids, ""You get what you pay for"".  You are often better off in the long run paying a little more...",2012-02-14T03:57:26+0000
304981108326_10150802184413327,304981108326_10150802184413327_25817582,"Daniel Noe","In the eighteenth century there were several distinct cultures in America. Each believed their way the right way to do things and either forced or at least encouraged their citizenry to fall in line and follow suit. When forming the United States, the founders hammered out a compromise: states could do what they wished inside their own borders, while the federal government would only regulate commerce between states and it would not endorse a particular religion. By stepping in to enforce rules contrary to the religion of many, the federal government has broken this compromise. Given the growing incivility today, it would seem that a return to this type of compromise (you go your way and I go mine) is in order.",2012-02-14T22:04:20+0000
304981108326_292508940811641,304981108326_292508940811641_3034141,"Lynda Park","Very interesting.",2012-02-14T02:14:13+0000
304981108326_10150801433568327,304981108326_10150801433568327_25796704,"Antônio Carlos","Sorry, but there is a misconception. In most countries which you have been led to believe to be the third world, his Letters Magna prohibit the military from intervening in civilian affairs. This attitude is typical of police and militarized states still do not admit it.",2012-02-14T00:09:30+0000
304981108326_10150801433568327,304981108326_10150801433568327_25797168,"Sherrie Heckendorn","when i referred to 3rd world i was thinking of egypt iran iraq china and the list goes on and untill americans are awakened to the truth of our government and its plans to controll  our every movement with free power to wage war on american citizens deemed hostile to the government",2012-02-14T00:44:52+0000
304981108326_361680057190209,304981108326_361680057190209_4875273,"Antônio Carlos",http://youtu.be/YkwoRivP17A,2012-02-14T01:07:45+0000
304981108326_154021214715458,304981108326_154021214715458_323829,"Mark Dennis Stratton","Baby needs a new pair of shoes...",2012-02-13T23:03:36+0000
304981108326_107982465995719,304981108326_107982465995719_24401,"Myles F. Gellert","Looks like he knew what he was talking about",2012-02-13T23:52:53+0000
304981108326_107982465995719,304981108326_107982465995719_24608,"Eric W. Marshall-Burger","Which helps explain how a Whie Nationalist gets to write an immigration law for Alabama. Even if he is the official in another state.",2012-02-14T01:22:27+0000
304981108326_299518893442519,304981108326_299518893442519_3269800,"Dean Clark Meyers-Hansen","This confuses me. Politics is government   *sigh*",2012-02-14T08:24:20+0000
304981108326_299518893442519,304981108326_299518893442519_3276156,"Navid Reza Khoshooee","Great analysis",2012-02-15T17:33:46+0000
304981108326_350534984978872,304981108326_350534984978872_4622739,"Mark Levine","Easily -- make all management and officer compensation come from after-tax profits.  Minimum wage up to that.  Other countries do it for bonuses.  Political contributions?  That would be an after-tax distribution of earnings, not a cost of doing business.  Let them explain that to their shareholders.",2012-02-13T15:56:05+0000
304981108326_316930291690555,304981108326_316930291690555_3693465,"Andrew Isbell","Worth a revisit",2012-02-13T05:17:59+0000
304981108326_249293045151078,304981108326_249293045151078_1598970,"Shirley Bomgaars","Thanks, Eric. I'd not heard the whole story behind the name. It makes sense - it all got caught up in the momentum of the moment. It's an interesting phenomenon!",2012-02-13T04:32:57+0000
304981108326_249293045151078,304981108326_249293045151078_1599288,"Urs Schuler",http://cleanandsafeports.org/blog/2011/12/12/an-open-letter-from-america%E2%80%99s-port-truck-drivers-on-occupy-the-ports/#more-2400,2012-02-13T06:37:51+0000
304981108326_10150797534793327,304981108326_10150797534793327_25777602,"Scott Kelosky","Since I happen to be a retired military veteran I hope you are not blaming the men and women in uniform.  You may find this link interesting.  It gives you a pitch for donations at the end but just ignore that if you choose.   http://www.youtube.com/user/EndorseLiberty?v=AwbBWEljyYE",2012-02-13T00:57:17+0000
304981108326_10150797534793327,304981108326_10150797534793327_25778271,"Gray Sun Light","This is a tricky issue. From a purely economic standpoint, it makes sense for many individuals to serve in the military. It must be framed as an economic decision, because the military hardly serves the purpose that all the rhetoric surrounding it would have you to think, i.e. defending freedom, serving country, etc. Our military has been co-opted and corrupted by corporate influence. I myself wish I had a military to serve in for a cause I believe in. Iraq was not about WMDs or defending freedom; the whole ""war on terror"" is hardly about protecting america, and 9/11 served as an excuse to start an unending imperial war to secure resources for corporate profit (incidentally, 8 years into our occupation in afghanistan, we just ""stumbled"" across vast unexploited copper and uranium deposits). To accept that the military is about protecting freedom and american civilians today is to believe in a lie. So I don't blame people for joining the military when often it is the only viable choice they have to support their families, but if they join the military under the pretense they are protecting freedom and the rights of civilians, and discount the notion that the military has become an institution of corporate-domination, and that as members of the armed services they too are serving corporations; than yes, I have qualms with those individuals because they are deluded and refuse to accept they are serving a corrupt regime.",2012-02-13T01:34:15+0000
304981108326_10150797534793327,304981108326_10150797534793327_25778303,"Gray Sun Light","Also, when the military says ""freedom isn't free"" they are in actuality saying ""unmitigated consumerism isn't free.""",2012-02-13T01:36:50+0000
304981108326_128869093901856,304981108326_128869093901856_118442,"Bill Case","Actually, I would find Romney's comments a fair summary if only someone else had said them.",2012-02-12T23:47:41+0000
304981108326_128869093901856,304981108326_128869093901856_118457,"Lynda Park","But as Zakaria notes, Romney thought the poor only was about 5% of the populations, but it is close to 18%. That is 1 in 5 people in this country.",2012-02-12T23:52:28+0000
304981108326_128869093901856,304981108326_128869093901856_118504,"Bill Case","That is why somebody else could say them.  We know he doesn't know.  In somebody else's mouth the words are just a metaphor.  In his mouth, he mistakes them for accuracy.",2012-02-13T00:16:14+0000
304981108326_268547156547432,304981108326_268547156547432_2340133,"John William Brandkamp","I agree totally Ed.",2012-02-12T23:04:53+0000
304981108326_268547156547432,304981108326_268547156547432_2340263,"Lynda Park","I cannot say that I fully understand what is going on in Greece, but it just seems like Greece would be better off if it could leave the euro zone and go back to the drachma with the possibility of devaluing its currency to increase exports, etc.  I think this is what Iceland did. I am amazed that Iceland was able to turn around their economy so quickly after defaulting (granted it is a tiny country).",2012-02-12T23:47:29+0000
304981108326_323968560972509,304981108326_323968560972509_4079963,"Scott Kelosky","Despite a picture of the Pope being used, I'm sure you understand this doesn't just apply to the Catholic church.  If the government/IRS were to enforce this exactly as written then preachers who endorsed President Obama from the pulpit and led voter registration drives that were partisan in favor of President Obama and Dems would also need to be included.",2012-02-12T23:03:30+0000
304981108326_323968560972509,304981108326_323968560972509_4079997,"Petra Densborn-Moeller","religious institutions.........any religious institution scott, nomatter who they support politically. :)",2012-02-12T23:14:45+0000
304981108326_167978759981244,304981108326_167978759981244_466757,"Join the Coffee Party Movement","Elaine B. Holtz, it would probably be best if you used our web form for contacting us, found here:

http://www.coffeepartyusa.com/media-contact",2012-02-13T20:12:41+0000
304981108326_208390069258487,304981108326_208390069258487_854445,"Todd Mikosh",http://wraxtiorre.blogspot.com/p/de-constructing-quarks.html,2012-02-12T19:07:18+0000
304981108326_208390069258487,304981108326_208390069258487_854447,"Todd Mikosh","They really NEED to be forced to take their jobs more seriously!",2012-02-12T19:07:40+0000
304981108326_360108300673993,304981108326_360108300673993_4819563,"Scott Kelosky","This is an example of why I think it is time for our government, and the American people to insist, on a more libertarian type of approach.  NOT a strict libertarian ideology but simply a more libertarian approach.  Repeal the patriot act, get rid of section 1021 of the recently signed NDAA, get rid of drones over American skies, outlaw red light cameras, no government interference with the internet (just for a few examples).  Basically get government out of our faces.",2012-02-12T21:30:11+0000
304981108326_321273987925082,304981108326_321273987925082_4010899,"Lesley Burton","I'm sending one to the Governor as well.",2012-02-12T17:58:23+0000
304981108326_321273987925082,304981108326_321273987925082_4011046,"Ayn Riggs","Thank you!!!!",2012-02-12T18:43:20+0000
304981108326_321273987925082,304981108326_321273987925082_4011057,"Ayn Riggs","Send one to Obama too.  Can't hurt, it's Department of Labor is under his unbrella.  And our Govenors should have the back of the ethical chocoalte companies in theirs states as well.",2012-02-12T18:44:46+0000
304981108326_292452687486146,304981108326_292452687486146_3002700,"Niccolo Casewit","The Government has spent money taken from the SS trust fund. So in this sense the government should not be spending our money...V.P Al Gore spoke of putting a ""Lock Box"" on SS funds. These are entitlements, not social services. As Obama want's to extend the Employee taxes to be cut it just means businesses keep that money, and those who still pay SS will have less in that trust fund. This is the hypocracy of Partisan points of view on the subject. People have molded the word ""entitlement"" with feelin""entitled"" it's insurance.  It's our money. After 30 years of work my income has been so small, I don't even have a saftey net from SS right now.It's a crazy quilt net with holes and I am 52. !!!!",2012-02-12T17:13:01+0000
304981108326_227137397380079,304981108326_227137397380079_1180681,"Annabel Park","Cameron Michaels, I think Jessica is going to focus on the 2012 election. But, you can call about anything. It's an open format.",2012-02-12T18:45:45+0000
304981108326_227137397380079,304981108326_227137397380079_1180865,"Cameron Michaels","Thanks. I'll get some questions together. :-)",2012-02-12T19:49:45+0000
304981108326_300649536658917,304981108326_300649536658917_3330774,"Scott Kelosky","No thanks.",2012-02-12T21:54:06+0000
304981108326_347420478612875,304981108326_347420478612875_4743202,"Scott Kelosky","To get politics out of medicine and the doctor-patient relationship you would need to completely remove the federal and state governments from the health care industry.",2012-02-12T21:53:51+0000
304981108326_281936968539699,304981108326_281936968539699_2753134,"Joseph Cautilli","Yes, he did. I was shocked and the republicans are furious:
http://www.theblaze.com/stories/romney-reaffirms-support-of-automatic-increases-in-minimum-wage/",2012-02-12T05:46:33+0000
304981108326_281936968539699,304981108326_281936968539699_2753164,"Scott Kelosky","Interesting.  Let some in the GOP be mad, I think its a good idea having it tied to the rate of inflation.  Jack Kemp had an idea back in the 80's of having military pay increases automatic to the rate of inflation, with the option of giving a bigger increase if Congress chose too.  The idea was to take the politics out of it.  I have to say I like Romney's idea.",2012-02-12T05:59:23+0000
304981108326_10150794860873327,304981108326_10150794860873327_25762416,"Join the Coffee Party Movement","Les Subrick, please review the civility pledge and take a few minutes to look over our website to see what the Coffee Party is about.  We are not anti-Republican or anti Tea Party. http://www.coffeepartyusa.com/civility_pledge",2012-02-12T04:11:33+0000
304981108326_296289737091394,304981108326_296289737091394_3201296,"Ron Klebenow","READ THIS  ALSO",2012-02-13T02:27:04+0000
304981108326_296289737091394,304981108326_296289737091394_3201298,"Ron Klebenow","BY ERIC BYLER",2012-02-13T02:27:43+0000
304981108326_363950020291362,304981108326_363950020291362_5009637,"Niccolo Casewit","This is scary. It so easy to take our Freedoms for granted....",2012-02-12T02:22:50+0000
304981108326_363950020291362,304981108326_363950020291362_5009781,"Mark Smith","That's just way our gov wants to be able to do.  Let's not let them.",2012-02-12T03:14:44+0000
304981108326_168917953223379,304981108326_168917953223379_446530,"Rollin Huelsman",http://www.facebook.com/l.php?u=http%3A%2F%2Fwww.youtube.com%2Fwatch%3Fv%3Dn7Fzm1hEiDQ%26feature%3Dshare&h=CAQEGV76-AQEKRo7U8ukBqwhrnCrRNkjSpqjN30-zP62oXg,2012-02-12T02:47:28+0000
304981108326_184717371633464,304981108326_184717371633464_604022,"Anand Mehta","Republicans are really distraught over what to do for the nomination.  They know they don't want Romney, they don't really want Paul, they've figured out Gingrich is a very poor choice.  So now they're looking at Santorum, but not too closely, because as soon as they do, they're going to realize he's too conservative to be electable.",2012-02-11T22:41:50+0000
304981108326_184717371633464,304981108326_184717371633464_604638,"Mark Smith","Very surprising.  Yes, Paul territory.",2012-02-12T03:16:23+0000
304981108326_254650361279120,304981108326_254650361279120_1793803,"Anand Mehta","They don't want Santorum, he's just the ""Anti-Romney-of-the-Day"".",2012-02-11T23:00:09+0000
304981108326_254650361279120,304981108326_254650361279120_1793837,"Peter A. Michalove",Indeed.,2012-02-11T23:15:06+0000
304981108326_210220245744000,304981108326_210220245744000_874139,"Join the Coffee Party Movement","Egberto's blog http://www.coffeepartyusa.com/blogs/egbertowillies",2012-02-11T19:52:02+0000
304981108326_210220245744000,304981108326_210220245744000_874445,"Betty Martin","Need a lot more of the reach-out thing, petitions, and apparently, things to do aside from organizing yourselves.  Find a position and get people on board.",2012-02-11T21:41:44+0000
304981108326_359437904080417,304981108326_359437904080417_4668340,"William Hadley","BE the leaders we seek!",2012-02-11T15:23:59+0000
304981108326_346430168722241,304981108326_346430168722241_4541370,"Lynda Park","Excellent post.  Thank you!",2012-02-11T16:23:11+0000
304981108326_331689503536166,304981108326_331689503536166_4201822,"Lynda Park",Signed!,2012-02-11T16:24:45+0000
304981108326_244999008912220,304981108326_244999008912220_1454067,"Selkie Ketelaar","Seeing as how in ALL countries the ""have not's"" outnumber the ""haves"" it appears a time of revolution is due for all countries run by the very rich!",2012-02-11T16:10:25+0000
